video_path,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,temporal_style,appearance_style,overall_consistency
random_noisy_Up-Scene-427.mp4,0.5820823762057857,0.7885398171164772,0.8648152818866804,0.8828785403164727,1,0.5143724083900452,59.703167803652654,0,0,0,0,0,0,0.11103856563568115,0,0.11103856563568115
random_noisy_Frozen2-Scene-237.mp4,0.4651155055190126,0.6962537977430555,0.8784594816320083,0.9014496576736585,1,0.5426546335220337,63.20582798549107,0,0,0,0,0,0,0.20997479557991028,0,0.20997479557991028
random_noisy_Inside_Out-Scene-0960.mp4,0.5421206999313215,0.7493002003636854,0.8736168057310815,0.895087927802072,1,0.521705150604248,64.8102064214201,0,0,0,0,0,0,0.17522859573364258,0,0.17522859573364258
random_noisy_Inside_Out-Scene-0634.mp4,0.6715501978042278,0.7484247735206117,0.8772232055664062,0.9005879228590351,1,0.5438076853752136,70.1993806537829,0,0,0,0,0,0,0.2398766428232193,0,0.2398766428232193
random_noisy_Up-Scene-684.mp4,0.7171873468705403,0.8449313256048387,0.902367790072572,0.9159096378313581,1,0.5586935877799988,72.97569989143534,0,0,0,0,0,0,0.07127585262060165,0,0.07127585262060165
random_noisy_Frozen2-Scene-267.mp4,0.6866288460445046,0.761291837431694,0.8712980980966606,0.8851770750685848,1,0.44742119312286377,54.170643101567805,0,0,0,0,0,0,0.15504151582717896,0,0.15504151582717896
random_noisy_Up-Scene-542.mp4,0.7296628515094014,0.782974501787606,0.8779976265103209,0.8990373184608553,0,0.5606728196144104,71.10304862911961,0,0,0,0,0,0,0.10042987018823624,0,0.10042987018823624
random_noisy_Frozen2-Scene-075.mp4,0.47428416136135426,0.691024515670159,0.8848560856837853,0.8950902603575511,1,0.475121408700943,60.02712278256471,0,0,0,0,0,0,0.18256524205207825,0,0.18256524205207825
random_noisy_Frozen2-Scene-042.mp4,0.5499319066026598,0.795959083897293,0.8711190915575214,0.8908538741394941,1,0.5479668974876404,61.79351171662536,0,0,0,0,0,0,0.19204381108283997,0,0.19204381108283997
random_noisy_Up-Scene-068.mp4,0.7347884330846054,0.868501045334507,0.9034771937949985,0.9144041232954088,1,0.4877588450908661,52.86497317420112,0,0,0,0,0,0,0.09507429599761963,0,0.09507429599761963
random_noisy_Up-Scene-395.mp4,0.7215580252132245,0.8444135393415179,0.8943320928835401,0.9081382721632891,1,0.48147115111351013,72.23503212894954,0,0,0,0,0,0,0.08947882801294327,0,0.08947882801294327
random_noisy_Frozen2-Scene-307.mp4,0.5545468537027345,0.7538444967830882,0.8542146121754366,0.8766008860276544,1,0.4939662218093872,66.37412594639977,0,0,0,0,0,0,0.17295041680335999,0,0.17295041680335999
random_noisy_Zootopia-Scene-0098.mp4,0.6955475424230099,0.83419921875,0.8987211339613971,0.9175988327900627,1,0.5836004614830017,59.3355517008948,0,0,0,0,0,0,0.2273244559764862,0,0.2273244559764862
random_noisy_Frozen2-Scene-231.mp4,0.43906151128725873,0.69576416015625,0.8731148663689109,0.8859223097966255,1,0.5215350985527039,56.22574472951365,0,0,0,0,0,0,0.2031051218509674,0,0.2031051218509674
