video_path,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,temporal_style,appearance_style,overall_consistency
random_noisy_Frozen2-Scene-237.mp4,0.4685189343161053,0.7259318033854166,0.7628378325817632,0.7916593569930568,1,0.43085092306137085,61.460336622301035,0,0,0,0,0,0,0.20036523044109344,0,0.20036523044109344
random_noisy_Frozen2-Scene-307.mp4,0.41897127946071766,0.7367991727941177,0.7719357060451134,0.8163005212469203,1,0.4113413393497467,64.70880570522574,0,0,0,0,0,0,0.15809357166290283,0,0.15809357166290283
random_noisy_Frozen2-Scene-231.mp4,0.5134263723467787,0.7408338758680556,0.775992015763825,0.8094245286733881,1,0.41814887523651123,57.61985464410468,0,0,0,0,0,0,0.20796844363212585,0,0.20796844363212585
random_noisy_Frozen2-Scene-368.mp4,0.48013568573974463,0.7355362741570723,0.7837944030761719,0.8158278458747992,1,0.3830675780773163,60.06661080694818,0,0,0,0,0,0,0.14203590154647827,0,0.14203590154647827
random_noisy_Frozen2-Scene-105.mp4,0.4768913053472837,0.7026318359375,0.7948965334424786,0.8167137293457559,1,0.4429530203342438,67.4766603771009,0,0,0,0,0,0,0.19255436956882477,0,0.19255436956882477
random_noisy_Frozen2-Scene-423.mp4,0.5852282911849519,0.8009414672851562,0.7359724456188725,0.7676683805773007,1,0.36036133766174316,44.003625456819826,0,0,0,0,0,0,0.22670796513557434,0,0.22670796513557434
random_noisy_Frozen2-Scene-320.mp4,0.5566924367176027,0.7430992904974489,0.7987652049345129,0.8361388139108188,1,0.371792733669281,66.73281521267361,0,0,0,0,0,0,0.19282405078411102,0,0.19282405078411102
random_noisy_Frozen2-Scene-329.mp4,0.4634778104808139,0.6750151535560345,0.7654208164589078,0.8033144742824924,1,0.44122055172920227,64.33454634926535,0,0,0,0,0,0,0.21684306859970093,0,0.21684306859970093
random_noisy_Frozen2-Scene-167.mp4,0.5287799437380867,0.6956470630787037,0.7436264038085938,0.7720049329798119,1,0.45663613080978394,60.180084461119115,0,0,0,0,0,0,0.18859335780143738,0,0.18859335780143738
random_noisy_Frozen2-Scene-376.mp4,0.5084732937173465,0.754650219066723,0.7731027191760493,0.811076054020967,1,0.4010787904262543,62.24774307250976,0,0,0,0,0,0,0.10106532275676727,0,0.10106532275676727
random_noisy_Frozen2-Scene-203.mp4,0.5333972307901407,0.7377099105992269,0.7801829020182292,0.8038306842520426,1,0.41579723358154297,59.279824120657786,0,0,0,0,0,0,0.19151289761066437,0,0.19151289761066437
random_noisy_Frozen2-Scene-102.mp4,0.48607916198670864,0.702619050678454,0.7871148352529488,0.8139904546666079,1,0.4110376536846161,67.36927958897182,0,0,0,0,0,0,0.18988698720932007,0,0.18988698720932007
random_noisy_Frozen2-Scene-188.mp4,0.47998544678856164,0.7010075495793269,0.7576957253848805,0.794113236769,1,0.4275718927383423,59.312500965746146,0,0,0,0,0,0,0.19991284608840942,0,0.19991284608840942
random_noisy_Frozen2-Scene-136.mp4,0.4904603810833865,0.7094164396587171,0.7641041026395909,0.7957496066778935,1,0.42154762148857117,67.37805765325373,0,0,0,0,0,0,0.18741273880004883,0,0.18741273880004883
random_noisy_Frozen2-Scene-325.mp4,0.5194389654439874,0.7046920776367187,0.7947615081188726,0.8272461405171493,1,0.46744635701179504,64.2768701153037,0,0,0,0,0,0,0.2107526659965515,0,0.2107526659965515
random_noisy_Frozen2-Scene-221.mp4,0.5052042771896271,0.730248020119863,0.7801681668150658,0.8091089200189132,1,0.4366041123867035,63.00846770003035,0,0,0,0,0,0,0.18342271447181702,0,0.18342271447181702
