video_path,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,temporal_style,appearance_style,overall_consistency
random_noisy_Frozen-Scene-065.mp4,0.4878322504340641,0.7167023689516129,0.7367456174364277,0.7521904040230413,1,0.4493359923362732,62.05833601951599,0,0,0,0,0,0,0.22559897601604462,0,0.22559897601604462
random_noisy_Frozen-Scene-141.mp4,0.3591447863581143,0.6576696681225394,0.7355010088752297,0.7708533799990935,1,0.45663902163505554,55.98603296279907,0,0,0,0,0,0,0.2160482406616211,0,0.2160482406616211
random_noisy_Frozen-Scene-194.mp4,0.5193012709644708,0.7580921519886363,0.8215918297861137,0.8483282647607081,1,0.43992576003074646,61.658964906420024,0,0,0,0,0,0,0.10332899540662766,0,0.10332899540662766
random_noisy_Frozen-Scene-178.mp4,0.5129253764570963,0.7629295888573232,0.7209744621725643,0.7498218902694467,1,0.39525821805000305,49.14338932037354,0,0,0,0,0,0,0.14675429463386536,0,0.14675429463386536
random_noisy_Frozen-Scene-214.mp4,0.4910479976576479,0.6811343922334558,0.7909396302466299,0.8284338802022864,1,0.45290201902389526,64.92997229439872,0,0,0,0,0,0,0.1855964958667755,0,0.1855964958667755
random_noisy_Frozen-Scene-063.mp4,0.48593346506010654,0.7323580009992733,0.7285782458735447,0.7666916759220381,1,0.4349904954433441,64.61127792007622,0,0,0,0,0,0,0.20328585803508759,0,0.20328585803508759
random_noisy_Frozen-Scene-119.mp4,0.5637131229870849,0.7485700334821429,0.7934846466662837,0.8204527077454866,1,0.4167155921459198,63.21302248737005,0,0,0,0,0,0,0.19512802362442017,0,0.19512802362442017
random_noisy_Frozen-Scene-202.mp4,0.5044904993000355,0.7037478360262784,0.8044176887063419,0.8319923118805447,1,0.43781378865242004,62.68130373151115,0,0,0,0,0,0,0.16743597388267517,0,0.16743597388267517
random_noisy_Frozen-Scene-166.mp4,0.5531207598172702,0.7770376352163462,0.7460736443014706,0.7936817969025954,1,0.3552640974521637,49.07814915974935,0,0,0,0,0,0,0.16723883152008057,0,0.16723883152008057
random_noisy_Frozen-Scene-074.mp4,0.4984368033548619,0.7111219040890957,0.7331006816789216,0.7702100369050919,1,0.43128734827041626,63.262699047724404,0,0,0,0,0,0,0.20885002613067627,0,0.20885002613067627
random_noisy_Frozen-Scene-134.mp4,0.5022622708015698,0.7424487909994835,0.7385085461186428,0.7788289956395558,1,0.4450235664844513,57.76004003305904,0,0,0,0,0,0,0.21033498644828796,0,0.21033498644828796
random_noisy_Frozen-Scene-142.mp4,0.47912411473691463,0.719609375,0.7129976459577971,0.736472156962173,1,0.43185684084892273,57.23986581655649,0,0,0,0,0,0,0.1684170961380005,0,0.1684170961380005
random_noisy_Frozen-Scene-152.mp4,0.539205163521202,0.7472887541118421,0.7398966471354167,0.758279355416353,1,0.49525025486946106,49.04729226919321,0,0,0,0,0,0,0.11289017647504807,0,0.11289017647504807
random_noisy_Frozen-Scene-177.mp4,0.505769283713206,0.739486030910326,0.7329357670802696,0.7637761593840684,1,0.4554797112941742,59.93302045549665,0,0,0,0,0,0,0.1916552633047104,0,0.1916552633047104
random_noisy_Frozen-Scene-205.mp4,0.5385388552086122,0.7757367945429104,0.8079475402832031,0.846910784368878,1,0.39356815814971924,61.58356638515697,0,0,0,0,0,0,0.1321360170841217,0,0.1321360170841217
random_noisy_Frozen-Scene-220.mp4,0.49670187086753903,0.6788446335565477,0.780385410084444,0.798909088127023,1,0.4478069543838501,67.55730303596047,0,0,0,0,0,0,0.20880217850208282,0,0.20880217850208282
random_noisy_Frozen-Scene-096.mp4,0.519425872469046,0.7704597848360656,0.7070714015586703,0.717619162181741,1,0.4205206334590912,57.23021587248771,0,0,0,0,0,0,0.21476146578788757,0,0.21476146578788757
random_noisy_Frozen-Scene-082.mp4,0.4367138720676303,0.6943408203125,0.6910046446557139,0.7062035187510785,1,0.3984318971633911,49.6316892183744,0,0,0,0,0,0,0.17528076469898224,0,0.17528076469898224
random_noisy_Frozen-Scene-106.mp4,0.4892643616106865,0.735668285472973,0.7099796070772059,0.7325685778681353,1,0.38246580958366394,46.75765529431795,0,0,0,0,0,0,0.1897704005241394,0,0.1897704005241394
random_noisy_Frozen-Scene-156.mp4,0.43159727951173077,0.6668340509588068,0.7599610870959712,0.7975561042240866,1,0.42560988664627075,60.186493682861325,0,0,0,0,0,0,0.10321933031082153,0,0.10321933031082153
random_noisy_Frozen-Scene-138.mp4,0.5159790810611513,0.7061821831597223,0.7531194200702742,0.7825910222762472,1,0.4311180114746094,58.811035985532016,0,0,0,0,0,0,0.18816468119621277,0,0.18816468119621277
random_noisy_Frozen-Scene-054.mp4,0.45607539159519705,0.6968617158777574,0.7889930725097656,0.8134907135690861,1,0.44630008935928345,64.16509324225827,0,0,0,0,0,0,0.21769963204860687,0,0.21769963204860687
random_noisy_Frozen-Scene-228.mp4,0.5002729530009417,0.6977268995436947,0.7959066203996247,0.820066302521851,1,0.4559248685836792,64.54988727234958,0,0,0,0,0,0,0.20171692967414856,0,0.20171692967414856
random_noisy_Frozen-Scene-216.mp4,0.5235292550806009,0.7615158725792254,0.8057660271139706,0.8376433159072211,1,0.4500543177127838,66.76206864251031,0,0,0,0,0,0,0.14402875304222107,0,0.14402875304222107
random_noisy_Frozen-Scene-196.mp4,0.5420577684633954,0.705726800962936,0.7962095372817095,0.8136181725057338,1,0.4194085896015167,64.1196148751796,0,0,0,0,0,0,0.17864945530891418,0,0.17864945530891418
random_noisy_Frozen-Scene-061.mp4,0.5241678324274042,0.7232100053267045,0.7423503800934437,0.781038973244751,1,0.4125877022743225,57.014533068682695,0,0,0,0,0,0,0.23814718425273895,0,0.23814718425273895
random_noisy_Frozen-Scene-087.mp4,0.41125372460541815,0.6941105769230769,0.6891360114602482,0.7225155390020525,1,0.3890550434589386,35.72973007626004,0,0,0,0,0,0,0.1481492817401886,0,0.1481492817401886
random_noisy_Frozen-Scene-210.mp4,0.4804283579112962,0.6840545654296875,0.7836607689950981,0.8274455624177613,1,0.4105968773365021,61.87634416905845,0,0,0,0,0,0,0.18156950175762177,0,0.18156950175762177
random_noisy_Frozen-Scene-198.mp4,0.5242243724543665,0.7084381620762712,0.8146782220578661,0.8391729210900721,1,0.47279685735702515,65.0481726328532,0,0,0,0,0,0,0.19723108410835266,0,0.19723108410835266
