video_path,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,object_class,multiple_objects,human_action,color,spatial_relationship,scene,temporal_style,appearance_style,overall_consistency
Zootopia-Scene-0611.mp4,0.8465309628638727,0.9676050646551724,0.9976042382857379,0.9964809398874303,0,0.5770332217216492,60.98882864275549,0,0,0,0,0,0,0.22795194387435913,0,0.22795194387435913
Zootopia-Scene-0056.mp4,0.9152127482542177,0.9656774009146342,0.987571122599583,0.9932127199299319,1,0.6640624403953552,69.11161372173264,0,0,0,0,0,0,0.21923191845417023,0,0.21923191845417023
Zootopia-Scene-0582.mp4,0.8427707095940907,0.949139404296875,0.9779445629493863,0.9906765419571981,1,0.6044341325759888,70.23790848156638,0,0,0,0,0,0,0.2472771257162094,0,0.2472771257162094
Zootopia-Scene-0433.mp4,0.9224520000848877,0.9310316450140449,0.9348669164321002,0.9866718839278229,1,0.618156373500824,73.40094515482585,0,0,0,0,0,0,0.2656134068965912,0,0.2656134068965912
Zootopia-Scene-0831.mp4,0.708254036900801,0.8840797061011905,0.9932442758597579,0.9964893237731969,1,0.47975605726242065,44.33836629061863,0,0,0,0,0,0,0.17997661232948303,0,0.17997661232948303
Zootopia-Scene-0074.mp4,0.9573483592226305,0.9637479126908397,0.9916438205569398,0.9943384000176507,1,0.7400723099708557,72.93102778810443,0,0,0,0,0,0,0.16968092322349548,0,0.16968092322349548
Zootopia-Scene-0041.mp4,0.978393131965085,0.9769254985608553,0.9871458708071241,0.9934195358249222,1,0.6484534740447998,72.54910545844537,0,0,0,0,0,0,0.22534972429275513,0,0.22534972429275513
Zootopia-Scene-1041.mp4,0.7382729327814146,0.8899425159801136,0.987207171496223,0.9904875766375658,1,0.5586515665054321,65.8212128976234,0,0,0,0,0,0,0.21936219930648804,0,0.21936219930648804
Zootopia-Scene-0475.mp4,0.8951862939494721,0.9447930518617021,0.9964463114738464,0.9959037411485203,0,0.5708832144737244,65.57874824122379,0,0,0,0,0,0,0.23382475972175598,0,0.23382475972175598
Zootopia-Scene-0196.mp4,0.9415708152537651,0.9316328332779256,0.9676646101708506,0.994069010730404,1,0.5728532075881958,74.50318555329976,0,0,0,0,0,0,0.16447590291500092,0,0.16447590291500092
Zootopia-Scene-0769.mp4,0.9584479331970215,0.9774915193256579,0.9765512672125124,0.9830361306649563,0,0.6638565063476562,71.74587569311652,0,0,0,0,0,0,0.21597573161125183,0,0.21597573161125183
Zootopia-Scene-0320.mp4,0.9513456877116319,0.9674032022664835,0.974522216647279,0.988167678340206,1,0.6904642581939697,78.24830411828083,0,0,0,0,0,0,0.21544644236564636,0,0.21544644236564636
Zootopia-Scene-1063.mp4,0.9815259684215892,0.9826945515422078,0.9981513707076802,0.9969962609147105,0,0.6818541288375854,56.7524232619848,0,0,0,0,0,0,0.23692646622657776,0,0.23692646622657776
Zootopia-Scene-0656.mp4,0.9752647256085633,0.9914774763474771,0.9980539501882066,0.9970685163857821,0,0.5752620697021484,66.5070180719549,0,0,0,0,0,0,0.20268049836158752,0,0.20268049836158752
Zootopia-Scene-0673.mp4,0.9067932678362167,0.9471622117221615,0.9830626786923876,0.9886456904889728,1,0.6133994460105896,63.17620675460152,0,0,0,0,0,0,0.23416653275489807,0,0.23416653275489807
Zootopia-Scene-0173.mp4,0.9479353633281347,0.9766053895692568,0.9928619464238485,0.9948960138565691,1,0.5906025171279907,72.27598815917969,0,0,0,0,0,0,0.22123758494853973,0,0.22123758494853973
Zootopia-Scene-0280.mp4,0.981702695562415,0.9623187339469178,0.9956358820784326,0.9963465323035231,0,0.5751438736915588,75.896615518106,0,0,0,0,0,0,0.2301025092601776,0,0.2301025092601776
Zootopia-Scene-0567.mp4,0.9468686290799755,0.9550413366866438,0.9831704251906451,0.993238446106406,1,0.5898547172546387,76.27538505760398,0,0,0,0,0,0,0.2264677733182907,0,0.2264677733182907
